id	node1	label	node2	node2;coor	node2;label
	cluster_0_0_2_3_23_85_1176	member	QNIHPER9775337	@32.881/-117.238	'University of California, San Diego'@en
	cluster_0_0_2_3_23_85_1176	member	QNIHPER9508294	@40.850852/-73.844949	'Albert Einstein College of Medicine'@en
	cluster_0_0_3_6_11_35_1321	member	QNIHPER2102018	@41.311111111111/-72.926666666667	'Yale University'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER6437510	@42.33615277777778/-71.10683333333333	'Brigham and Women\'s Hospital'@en
	cluster_0_0_3_6_7_2_2378	member	QNIHPER2107750	@42.335743/-71.105138	'Harvard Medical School'@en
	cluster_0_0_3_6_7_2_843	member	QNIHPER6062699	@37.87/-122.259	'University of California, Berkeley'@en
	cluster_0_0_2_3_22_129_1952	member	QNIHPER2110377	@39.953885/-75.193048	'University of Pennsylvania'@en
	cluster_0_0_2_3_22_129_1039	member	QNIHPER6093518	@39.953885/-75.193048	'University of Pennsylvania'@en
	cluster_0_0_3_6_7_2_1975	member	QNIHPER2110411	@38.648/-90.305	'Washington University in St. Louis'@en
	cluster_0_0_3_6_7_2_1905	member	QNIHPER9708799	@38.648/-90.305	'Washington University in St. Louis'@en
	cluster_0_0_2_3_23_85_752	member	QNIHPER2113037	@40.444565/-79.953274	'University of Pittsburgh'@en
	cluster_0_0_2_3_23_85_752	member	QNIHPER7286681	@36.001111111111/-78.938888888889	'Duke University'@en
	cluster_0_0_3_6_21_33_859	member	QNIHPER6097412	@47.65416666666667/-122.30805555555555	'University of Washington'@en
	cluster_0_0_2_2_14_146_2208	member	QNIHPER2132158	@42.362805555556/-71.068630555556	'Massachusetts General Hospital'@en
	cluster_0_0_2_2_14_146_2208	member	QNIHPER8026801	@42.33615277777778/-71.10683333333333	'Brigham and Women\'s Hospital'@en
	cluster_0_0_2_2_14_112_649	member	QNIHPER2137442	@39.2989/-76.5942	'Johns Hopkins School of Medicine'@en
	cluster_0_0_2_2_14_112_649	member	QNIHPER8359528	@39.32888888888889/-76.62055555555555	'Johns Hopkins University'@en
	cluster_0_0_3_6_21_77_1289	member	QNIHPER2143344	@38.54/-121.75	'University of California, Davis'@en
	cluster_0_0_3_5_15_50_911	member	QNIHPER3074898	@32.881/-117.238	'University of California, San Diego'@en
	cluster_0_0_2_3_24_103_1363	member	QNIHPER2188008	@39.29002/-76.624551	'Baltimore VA Medical Center'@en
	cluster_0_0_2_3_24_103_2283	member	QNIHPER2430134	@32.844114/-96.784874	'Southern Methodist University'@en
	cluster_0_0_3_6_7_21_2017	member	QNIHPER2189554	@33.5/-86.8075	'University of Alabama at Birmingham'@en
	cluster_0_0_3_6_7_31_225	member	QNIHPER2190224	@40.7997/-73.9389	'CUNY School of Public Health'@en
	cluster_0_0_2_2_9_125_1126	member	QNIHPER2190844	@29.7078/-95.3975	'University of Texas MD Anderson Cancer Center'@en
	cluster_0_0_2_2_9_125_1126	member	QNIHPER3142143	@29.7078/-95.3975	'University of Texas MD Anderson Cancer Center'@en
	cluster_0_0_3_6_11_102_1932	member	QNIHPER2198027	@42.362805555556/-71.068630555556	'Massachusetts General Hospital'@en
	cluster_0_0_3_6_11_102_811	member	QNIHPER8652853	@40.444565/-79.953274	'University of Pittsburgh'@en
	cluster_0_0_2_3_22_129_1039	member	QNIHPER2201948	@42.34/-71.08833333333334	'Northeastern University'@en
	cluster_0_0_2_2_14_112_322	member	QNIHPER8375013	@39.953885/-75.193048	'University of Pennsylvania'@en
	cluster_0_0_2_2_14_112_374	member	QNIHPER9341416	@37.4282293/-122.1688576	'Stanford University'@en
	cluster_0_0_3_5_28_54_1130	member	QNIHPER6776706	@40.444565/-79.953274	'University of Pittsburgh'@en
	cluster_0_0_3_6_7_21_1856	member	QNIHPER2211583	@29.7033/-95.4029	'University of Texas Health Science Center at Houston'@en
	cluster_0_0_3_6_7_21_1856	member	QNIHPER8409936	@29.7033/-95.4029	'University of Texas Health Science Center at Houston'@en
	cluster_0_0_3_6_21_40_1456	member	QNIHPER2222163	@39.056285/-94.61077	'University of Kansas Medical Center'@en
	cluster_0_0_3_6_21_40_623	member	QNIHPER7683789	@39.056285/-94.61077	'University of Kansas Medical Center'@en
	cluster_0_0_2_2_14_112_322	member	QNIHPER2467355	@42.054853/-87.673945	'Northwestern University'@en
	cluster_0_0_3_6_7_2_1975	member	QNIHPER2234407	@42.276944444444/-83.738055555556	'University of Michigan'@en
	cluster_0_0_3_6_7_2_1905	member	QNIHPER7906732	@42.276944444444/-83.738055555556	'University of Michigan'@en
	cluster_0_0_2_2_14_112_649	member	QNIHPER8088740	@29.64833/-82.34944	'University of Florida'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER2239355	@39.7441/-104.836	'University of Colorado Denver School of Dental Medicine'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER9017027	@40.73/-73.997	'City University of New York'@en
	cluster_0_0_3_6_7_21_1856	member	QNIHPER2239964	@44.975277777778/-93.234166666667	'University of Minnesota'@en
	cluster_0_0_3_6_7_21_1856	member	QNIHPER8138505	@39.7441/-104.836	'University of Colorado Denver School of Dental Medicine'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER2251339	@40.765/-111.85	'University of Utah'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER9346188	@36.148649/-86.804972	'Vanderbilt University'@en
	cluster_0_0_2_3_23_51_640	member	QNIHPER3150947	@42.374443888889/-71.116943888889	'Harvard University'@en
	cluster_0_0_2_2_14_112_322	member	QNIHPER2403789	@44.975277777778/-93.234166666667	'University of Minnesota'@en
